model	dataset	N	oov	hyper_num	method	AP	F1	Accuracy	window_size	neg_sample	epoch	emb_dim	batch_size	learning_rate	epsilon	epoch_num	loss	loss_word2vec	run
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	1045	471	518	word2vec	0.6437736631289508	0.6628278950735765	0.6296650717703349	10	15	15	100	128	0.001	1e-08	2	6393.491714954376	3599592.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	1045	471	518	rnd	0.4849573961744136	0.6628278950735765	0.5167464114832536	10	15	15	100	128	0.001	1e-08	2	6393.491714954376	3599592.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	1045	471	518	summation	0.4949543292323795	0.6628278950735765	0.5215311004784688	10	15	15	100	128	0.001	1e-08	2	6393.491714954376	3599592.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	1045	471	518	summation_word2vec	0.5353166681274891	0.6628278950735765	0.5444976076555024	10	15	15	100	128	0.001	1e-08	2	6393.491714954376	3599592.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	1045	471	518	dot_product	0.6284451826783105	0.6628278950735765	0.6172248803827751	10	15	15	100	128	0.001	1e-08	2	6393.491714954376	3599592.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	1045	471	518	summation_dot_product	0.5238946411258568	0.6628278950735765	0.5444976076555024	10	15	15	100	128	0.001	1e-08	2	6393.491714954376	3599592.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	1045	471	518	word2vec	0.6579571176083917	0.6641025641025641	0.6421052631578947	10	15	15	100	128	0.001	1e-08	3	6381.92791223526	0.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	1045	471	518	rnd	0.4820491965518885	0.6641025641025641	0.5062200956937799	10	15	15	100	128	0.001	1e-08	3	6381.92791223526	0.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	1045	471	518	summation	0.4986741172657311	0.6641025641025641	0.5215311004784688	10	15	15	100	128	0.001	1e-08	3	6381.92791223526	0.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	1045	471	518	summation_word2vec	0.5444651169824657	0.6641025641025641	0.5502392344497608	10	15	15	100	128	0.001	1e-08	3	6381.92791223526	0.0	0
wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_runX/wikipedia240M_W10_neg15_e15_lr1e-03_eps1e-08_emb100_batch128_run3	/home/gabrielescobar/Documentos/hyper_bert/datasets/conceptnet-hypernym-1_token_1.tsv	1045	471	518	dot_product	0.6321649707116621	0.6641025641025641	0.6172248803827751	10	15	15	100	128	0.001	1e-08	3	6381.92791223526	0.0	0
